epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,609.166,2.07932,13.4801,1.77724,0.33817,0.27011,0.22177,0.08885,2.09159,10.1938,1.74811,0.0099951,0.0033317,0.0099951,0.0033317,0.0099951,0.0033317,0.0099951,0.0033317
2,1129.28,2.04303,10.2523,1.72046,0.36914,0.25445,0.21165,0.08373,2.11382,10.6867,1.80778,0.0195992,0.00653307,0.0195992,0.00653307,0.0195992,0.00653307,0.0195992,0.00653307
3,1614.47,2.11694,10.378,1.80093,0.28161,0.24767,0.18279,0.06903,2.1733,10.967,1.89711,0.0288073,0.00960243,0.0288073,0.00960243,0.0288073,0.00960243,0.0288073,0.00960243
4,2084.66,2.12631,10.2759,1.81995,0.36912,0.30996,0.26953,0.11041,2.07251,9.84955,1.81594,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,2551.07,2.04049,9.67778,1.76387,0.40888,0.33202,0.30055,0.1269,1.99589,9.21638,1.7591,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,3021.88,1.99162,9.32379,1.7316,0.41403,0.35031,0.31549,0.13624,1.9684,9.05801,1.73686,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,3491.91,1.96382,9.04696,1.70421,0.44765,0.38811,0.35977,0.15838,1.94689,8.55948,1.69675,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,3962.51,1.93437,8.86433,1.68167,0.4429,0.40424,0.36982,0.16412,1.91703,8.50571,1.67319,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,4438.32,1.91048,8.7013,1.65981,0.48193,0.41168,0.39971,0.17987,1.87146,8.29932,1.64738,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,4908.68,1.89056,8.5181,1.64477,0.49589,0.42397,0.41255,0.1863,1.87191,8.18869,1.63593,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,5377.22,1.87757,8.44204,1.63555,0.50965,0.43077,0.42309,0.19495,1.84254,7.99612,1.62209,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,5844.34,1.87224,8.31454,1.62925,0.52628,0.44068,0.44375,0.20522,1.82807,7.84739,1.60999,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,6311.31,1.85437,8.23079,1.61853,0.5145,0.46142,0.45491,0.21236,1.82491,7.76696,1.6028,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,6775.71,1.84523,8.12104,1.61075,0.537,0.46273,0.46443,0.21697,1.80895,7.56845,1.58437,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,7243.07,1.8338,8.04265,1.59925,0.54143,0.47315,0.47454,0.2213,1.80232,7.47262,1.58207,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,7711.37,1.821,7.99358,1.59547,0.55215,0.47994,0.48499,0.22937,1.78043,7.44329,1.56859,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,8183.61,1.81089,7.86055,1.58516,0.55831,0.47312,0.48959,0.2354,1.76152,7.38344,1.55628,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,8654.57,1.81213,7.81904,1.57606,0.56502,0.47561,0.49499,0.23752,1.76524,7.28642,1.54747,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,9124.98,1.79904,7.75176,1.57094,0.56785,0.48477,0.501,0.24054,1.76307,7.25972,1.54552,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,9595.49,1.79464,7.72785,1.56166,0.56628,0.48705,0.50609,0.24351,1.75578,7.22013,1.5383,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,10067.2,1.78341,7.66864,1.55741,0.57135,0.49387,0.51464,0.24717,1.75365,7.18978,1.53205,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,10536.1,1.78747,7.60638,1.55556,0.56581,0.49884,0.51629,0.24872,1.74971,7.15688,1.53316,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,11008.9,1.77286,7.5121,1.54847,0.57256,0.50127,0.52265,0.25221,1.74206,7.1096,1.52737,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,11477.8,1.77535,7.45337,1.54588,0.57083,0.50351,0.52537,0.25527,1.74029,7.06012,1.52374,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,11946.8,1.76774,7.44376,1.5371,0.57165,0.51333,0.5266,0.25678,1.74003,7.03554,1.52146,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,12417.5,1.75502,7.36396,1.53414,0.57873,0.5136,0.53094,0.25869,1.73977,7.01458,1.5217,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,12888.5,1.74703,7.30773,1.5245,0.58565,0.51066,0.53171,0.2599,1.73556,6.97544,1.51786,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,13360.3,1.74507,7.29136,1.52384,0.5923,0.51053,0.53468,0.26092,1.73418,6.95664,1.51821,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,13830.4,1.74015,7.20933,1.51918,0.59444,0.50953,0.53844,0.26247,1.73079,6.93529,1.51605,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,14297.6,1.73504,7.14774,1.51004,0.58885,0.51178,0.53861,0.26406,1.72936,6.91353,1.51293,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,14763.2,1.72529,7.10189,1.5049,0.59234,0.51491,0.54078,0.26516,1.72758,6.89238,1.51076,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,15228.7,1.71882,7.06043,1.50129,0.58915,0.51941,0.54315,0.2664,1.72666,6.87465,1.50922,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,15695.2,1.71531,7.03434,1.50018,0.59633,0.51674,0.54508,0.2673,1.72607,6.85789,1.50812,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,16161.9,1.71596,6.95507,1.49645,0.59885,0.51455,0.54586,0.26776,1.72501,6.85082,1.50693,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,16627.3,1.69889,6.90277,1.49109,0.59966,0.51707,0.54689,0.2684,1.72373,6.84575,1.50597,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,17092.3,1.70279,6.87516,1.4836,0.60454,0.51659,0.54818,0.26915,1.72321,6.83536,1.50456,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,17556.5,1.69544,6.82422,1.47562,0.60553,0.51708,0.54708,0.26953,1.72264,6.82887,1.50328,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,18022.9,1.68468,6.76552,1.47299,0.60514,0.51542,0.54879,0.27098,1.72257,6.81947,1.50252,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,18493.2,1.68415,6.70634,1.46974,0.60399,0.51745,0.55017,0.27182,1.72213,6.80768,1.50184,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,18959.9,1.67733,6.67765,1.46747,0.60333,0.51928,0.55141,0.27276,1.72179,6.7965,1.50108,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,19414.8,1.67561,6.35728,1.51339,0.60448,0.51975,0.55275,0.27357,1.72062,6.78701,1.49981,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,19865.9,1.66457,6.22841,1.50655,0.60911,0.51957,0.55407,0.27416,1.71998,6.77767,1.49897,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,20314.6,1.64999,6.16393,1.49575,0.60825,0.52126,0.55456,0.27482,1.71963,6.76448,1.49868,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
