damage_class,road_type,relative_bbox_area,cluster_count,priority
Pothole,city_road,0.148,1,MEDIUM
Alligator,state_highway,0.112,2,HIGH
Longitudinal,major_district_road,0.112,2,LOW
Pothole,rural_road,0.03648332612938849,1,LOW
Longitudinal,city_road,0.113,2,LOW
Pothole,national_highway,0.216,1,HIGH
Alligator,city_road,0.13379017491464706,1,LOW
Longitudinal,state_highway,0.167,1,LOW
Longitudinal,city_road,0.056949653651427824,2,LOW
Alligator,major_district_road,0.04262908846087924,4,MEDIUM
Longitudinal,rural_road,0.169,3,LOW
Longitudinal,major_district_road,0.092,4,LOW
Pothole,city_road,0.098,3,MEDIUM
Alligator,city_road,0.121,3,LOW
Pothole,national_highway,0.235,1,HIGH
Pothole,major_district_road,0.119,4,MEDIUM
Alligator,major_district_road,0.223,2,MEDIUM
Pothole,rural_road,0.035,3,LOW
Longitudinal,city_road,0.318,2,LOW
Pothole,state_highway,0.029,4,HIGH
Pothole,city_road,0.214,3,MEDIUM
Transverse,major_district_road,0.333,2,LOW
Transverse,city_road,0.12724563561799979,3,LOW
Longitudinal,major_district_road,0.157,3,LOW
Alligator,national_highway,0.085,1,HIGH
Pothole,city_road,0.139,2,MEDIUM
Alligator,state_highway,0.208,7,HIGH
Pothole,major_district_road,0.05234761895969405,1,MEDIUM
Alligator,city_road,0.1594627209269518,2,MEDIUM
Pothole,major_district_road,0.285,5,MEDIUM
Pothole,city_road,0.178,4,MEDIUM
Transverse,city_road,0.319,5,LOW
Pothole,city_road,0.06801531603832855,2,MEDIUM
Alligator,city_road,0.13744892241264547,4,MEDIUM
Alligator,rural_road,0.09131814897191191,3,LOW
Alligator,national_highway,0.207,1,HIGH
Transverse,state_highway,0.221,3,MEDIUM
Pothole,major_district_road,0.0870367997427735,5,HIGH
Pothole,city_road,0.29,1,MEDIUM
Longitudinal,national_highway,0.09307777284050371,3,MEDIUM
Pothole,major_district_road,0.182,1,MEDIUM
Alligator,city_road,0.095,2,LOW
Pothole,rural_road,0.06748938892212539,5,LOW
Longitudinal,city_road,0.123,1,LOW
Alligator,rural_road,0.1319047121134229,4,LOW
Longitudinal,national_highway,0.08220724114860221,5,MEDIUM
Alligator,major_district_road,0.105,2,MEDIUM
Longitudinal,city_road,0.114,4,LOW
Pothole,major_district_road,0.229,1,MEDIUM
Pothole,city_road,0.305,1,MEDIUM
Pothole,state_highway,0.146,3,HIGH
Pothole,national_highway,0.296,1,HIGH
Pothole,city_road,0.272,2,MEDIUM
Pothole,rural_road,0.259,1,LOW
Alligator,city_road,0.0511834258312077,5,MEDIUM
Pothole,city_road,0.014605567871559148,3,MEDIUM
Longitudinal,rural_road,0.237,3,LOW
Longitudinal,city_road,0.126,1,LOW
Alligator,city_road,0.369,1,LOW
Pothole,state_highway,0.145,1,HIGH
Alligator,major_district_road,0.025,1,LOW
Pothole,city_road,0.116,2,MEDIUM
Alligator,city_road,0.126,4,MEDIUM
Alligator,city_road,0.07,3,LOW
Pothole,national_highway,0.122,1,HIGH
Transverse,city_road,0.199,2,LOW
Transverse,major_district_road,0.226,1,MEDIUM
Alligator,city_road,0.191,2,LOW
Longitudinal,city_road,0.087,4,LOW
Pothole,national_highway,0.09250914822172673,1,HIGH
Alligator,major_district_road,0.057172020411476496,1,MEDIUM
Pothole,state_highway,0.086,3,HIGH
Pothole,city_road,0.107,3,MEDIUM
Pothole,national_highway,0.115,3,HIGH
Transverse,city_road,0.0748176592025347,3,LOW
Longitudinal,state_highway,0.119,5,LOW
Transverse,city_road,0.301,3,LOW
Longitudinal,major_district_road,0.307,3,LOW
Alligator,major_district_road,0.288,4,MEDIUM
Alligator,city_road,0.05651659489981754,2,LOW
Alligator,national_highway,0.106,1,HIGH
Alligator,city_road,0.353,1,LOW
Transverse,major_district_road,0.236,3,LOW
Transverse,major_district_road,0.071,2,LOW
Alligator,major_district_road,0.08448243616885512,1,MEDIUM
Pothole,state_highway,0.04,1,HIGH
Pothole,city_road,0.038,2,MEDIUM
Transverse,major_district_road,0.046,3,LOW
Pothole,city_road,0.119,2,MEDIUM
Alligator,city_road,0.453,4,MEDIUM
Alligator,state_highway,0.371,3,HIGH
Pothole,city_road,0.24803265248611653,1,MEDIUM
Longitudinal,national_highway,0.09786268872511386,2,LOW
Pothole,city_road,0.01,2,MEDIUM
Pothole,city_road,0.289,2,MEDIUM
Pothole,city_road,0.072,4,MEDIUM
Alligator,city_road,0.013,2,LOW
Alligator,major_district_road,0.217,4,MEDIUM
Pothole,rural_road,0.113,7,LOW
Transverse,city_road,0.19,2,LOW
Transverse,major_district_road,0.125,2,LOW
Transverse,major_district_road,0.08103346957205473,1,LOW
Pothole,city_road,0.078,2,LOW
Longitudinal,state_highway,0.031,4,LOW
Pothole,major_district_road,0.172,2,MEDIUM
Transverse,major_district_road,0.474,3,LOW
Pothole,city_road,0.028,5,MEDIUM
Transverse,major_district_road,0.076,1,LOW
Pothole,national_highway,0.033070083899181514,2,HIGH
Alligator,major_district_road,0.124,1,LOW
Alligator,state_highway,0.142,1,HIGH
Transverse,major_district_road,0.18408903466004567,1,LOW
Alligator,state_highway,0.106,4,HIGH
Pothole,major_district_road,0.147,3,MEDIUM
Pothole,state_highway,0.08657269895892623,3,HIGH
Longitudinal,city_road,0.154,3,LOW
Alligator,city_road,0.156,3,MEDIUM
Alligator,rural_road,0.11621548115653127,1,LOW
Pothole,state_highway,0.06008548769871148,1,HIGH
Alligator,rural_road,0.154,3,LOW
Pothole,city_road,0.204,2,MEDIUM
Alligator,national_highway,0.414,3,HIGH
Pothole,rural_road,0.089,4,LOW
Alligator,major_district_road,0.202,1,MEDIUM
Alligator,major_district_road,0.24,2,MEDIUM
Longitudinal,city_road,0.165,4,LOW
Longitudinal,city_road,0.01,1,LOW
Alligator,city_road,0.156,1,LOW
Transverse,city_road,0.159,2,MEDIUM
Longitudinal,national_highway,0.088,3,LOW
Pothole,state_highway,0.112,1,MEDIUM
Longitudinal,rural_road,0.096,1,LOW
Pothole,major_district_road,0.124,5,HIGH
Transverse,rural_road,0.07316868886171725,2,LOW
Longitudinal,national_highway,0.21228835828812373,4,MEDIUM
Pothole,major_district_road,0.279,3,MEDIUM
Pothole,city_road,0.303,3,MEDIUM
Transverse,city_road,0.374,2,LOW
Longitudinal,city_road,0.448,2,LOW
Transverse,major_district_road,0.188,4,LOW
Longitudinal,city_road,0.395,2,LOW
Pothole,city_road,0.049,3,MEDIUM
Pothole,rural_road,0.156,1,LOW
Pothole,city_road,0.048,5,MEDIUM
Pothole,national_highway,0.11198960284943144,1,HIGH
Alligator,major_district_road,0.034925935282885706,5,HIGH
Pothole,major_district_road,0.195,1,MEDIUM
Alligator,rural_road,0.211,2,LOW
Longitudinal,major_district_road,0.056,3,LOW
Alligator,rural_road,0.233,5,LOW
Longitudinal,city_road,0.027,1,LOW
Alligator,national_highway,0.296,3,HIGH
Alligator,major_district_road,0.182,2,MEDIUM
Transverse,major_district_road,0.087,1,LOW
Pothole,major_district_road,0.138,2,MEDIUM
Pothole,state_highway,0.124,3,HIGH
Alligator,major_district_road,0.03466193305875151,1,MEDIUM
Pothole,rural_road,0.136,3,LOW
Alligator,major_district_road,0.135,1,MEDIUM
Alligator,major_district_road,0.348,1,MEDIUM
Transverse,city_road,0.08,3,LOW
Pothole,major_district_road,0.022,1,MEDIUM
Pothole,city_road,0.247,1,MEDIUM
Alligator,major_district_road,0.244,6,MEDIUM
Longitudinal,major_district_road,0.034,1,LOW
Longitudinal,city_road,0.392,4,LOW
Pothole,national_highway,0.13131062337441998,4,HIGH
Transverse,city_road,0.18525990923761929,4,LOW
Pothole,major_district_road,0.306,1,MEDIUM
Longitudinal,rural_road,0.07268245354473016,2,LOW
Pothole,city_road,0.102,1,MEDIUM
Alligator,major_district_road,0.321,1,MEDIUM
Longitudinal,major_district_road,0.174,2,LOW
Alligator,state_highway,0.327,2,HIGH
Alligator,city_road,0.02,2,LOW
Pothole,city_road,0.08,3,MEDIUM
Transverse,city_road,0.217,6,LOW
Pothole,major_district_road,0.347,4,MEDIUM
Transverse,city_road,0.07559111678520883,1,LOW
Longitudinal,rural_road,0.234,3,LOW
Pothole,rural_road,0.051,1,LOW
Pothole,city_road,0.03693081676828659,5,MEDIUM
Pothole,major_district_road,0.424,2,HIGH
Pothole,city_road,0.089,7,MEDIUM
Alligator,major_district_road,0.091,4,MEDIUM
Longitudinal,city_road,0.17514928848206826,5,LOW
Pothole,city_road,0.151,1,MEDIUM
Pothole,city_road,0.23,3,MEDIUM
Alligator,city_road,0.079,1,LOW
Transverse,major_district_road,0.224,4,LOW
Pothole,major_district_road,0.062009156511915714,1,MEDIUM
Alligator,major_district_road,0.014056814319837645,1,MEDIUM
Alligator,city_road,0.049,3,LOW
Alligator,rural_road,0.2,1,LOW
Alligator,city_road,0.10186119232756971,6,MEDIUM
Pothole,city_road,0.026,2,MEDIUM
Pothole,rural_road,0.20614233792581832,3,LOW
Pothole,city_road,0.1509556012203412,5,MEDIUM
Longitudinal,major_district_road,0.055105461496542746,1,LOW
Transverse,city_road,0.169,3,LOW
Longitudinal,major_district_road,0.24259376973680033,1,LOW
Pothole,major_district_road,0.356,3,HIGH
Alligator,city_road,0.08817821951766235,1,LOW
Pothole,city_road,0.349,1,MEDIUM
Alligator,major_district_road,0.207,5,MEDIUM
Longitudinal,city_road,0.09,1,LOW
Pothole,city_road,0.105,4,MEDIUM
Longitudinal,major_district_road,0.174,1,LOW
Pothole,major_district_road,0.333,3,HIGH
Pothole,major_district_road,0.24,5,HIGH
Longitudinal,national_highway,0.115,1,LOW
Longitudinal,major_district_road,0.156,4,LOW
Alligator,state_highway,0.156,1,MEDIUM
Transverse,major_district_road,0.161,3,LOW
Alligator,city_road,0.078,2,LOW
Alligator,city_road,0.353,5,MEDIUM
Pothole,major_district_road,0.06258745474038266,2,MEDIUM
Pothole,major_district_road,0.012089145535848576,6,HIGH
Pothole,city_road,0.138,4,MEDIUM
Alligator,city_road,0.112,3,LOW
Pothole,national_highway,0.276,1,HIGH
Longitudinal,city_road,0.025,2,LOW
Alligator,national_highway,0.167,1,HIGH
Pothole,city_road,0.177,1,MEDIUM
Alligator,state_highway,0.147,3,HIGH
Alligator,city_road,0.1031467036669378,3,MEDIUM
Longitudinal,city_road,0.255,4,LOW
Alligator,city_road,0.094,3,LOW
Longitudinal,major_district_road,0.234,1,LOW
Alligator,major_district_road,0.05273834957214827,2,LOW
Longitudinal,major_district_road,0.292,3,LOW
Alligator,city_road,0.247,4,MEDIUM
Longitudinal,major_district_road,0.271,2,LOW
Pothole,city_road,0.209,2,MEDIUM
Pothole,major_district_road,0.233,1,MEDIUM
Longitudinal,city_road,0.152,1,LOW
Pothole,city_road,0.35,3,MEDIUM
Pothole,city_road,0.32,3,MEDIUM
Pothole,city_road,0.199,1,MEDIUM
Alligator,state_highway,0.214,3,HIGH
Transverse,city_road,0.134,1,LOW
Pothole,city_road,0.111,1,MEDIUM
Pothole,major_district_road,0.222,5,MEDIUM
Alligator,national_highway,0.051,5,HIGH
Transverse,city_road,0.0624099214219598,3,LOW
Pothole,city_road,0.089,1,MEDIUM
Alligator,rural_road,0.352,3,LOW
Transverse,major_district_road,0.177,3,LOW
Pothole,city_road,0.269,7,MEDIUM
Pothole,city_road,0.459,1,MEDIUM
